seed,variant_or_baseline,rmse_holdout,m_psi,m_dauroc
2007,V-SOFT,0.4734912940303945,0.43909774436090226,0.7100000000000001
2007,V-ORAC,0.0,0.9984962406015038,1.0
2007,B-POOL,0.3066933458728372,,
2007,B-ENVNN,0.6118683816860903,,
2007,B-MIXED,0.2886014132135343,,
2007,B-IRML,0.3025564828213866,,
2008,V-FULL,0.1067234818494488,0.7774436090225564,0.89
2008,V-A0,0.3129590116180874,,
2008,V-SOFT,0.4104790674780262,0.1969924812030075,0.51
2008,V-ORAC,0.0,1.0,0.96
2008,B-POOL,0.3151923176317138,,
2008,B-ENVNN,0.6125663119189997,,
2008,B-MIXED,0.3003559337999418,,
2008,B-IRML,0.3110333070321982,,
2009,V-FULL,0.1345253031789049,0.7578947368421052,0.8999999999999999
2009,V-A0,0.3853599955051153,,
2009,V-SOFT,0.4249936529140563,-0.19248120300751878,0.53
2009,V-ORAC,0.0,0.98796992481203,0.94
2009,B-POOL,0.3875823190468153,,
2009,B-ENVNN,0.6633734733124236,,
2009,B-MIXED,0.3765017282294381,,
2009,B-IRML,0.3809254734010309,,
2010,V-FULL,0.1904365705902654,0.7473684210526315,1.0
2010,V-A0,0.3835113105626672,,
2010,V-SOFT,0.4096304538503184,0.8466165413533834,0.9400000000000001
2010,V-ORAC,0.0,0.993984962406015,1.0
2010,B-POOL,0.3968359498381297,,
2010,B-ENVNN,1.2269554689237414,,
2010,B-MIXED,0.3148718916119062,,
2010,B-IRML,0.3971545445934114,,
2011,V-FULL,0.1122945790160729,0.806015037593985,0.81
2011,V-A0,0.3279200031997602,,
2011,V-SOFT,0.4115118052490434,0.25864661654135335,0.63
2011,V-ORAC,0.0,0.9969924812030074,0.95
2011,B-POOL,0.3297773616416782,,
2011,B-ENVNN,0.4935081612219557,,
2011,B-MIXED,0.309909083666584,,
2011,B-IRML,0.3251671732530616,,
2012,V-FULL,0.1497951915646629,0.837593984962406,0.77
2012,V-A0,0.3864278757220394,,
2012,V-SOFT,0.4737575044416598,0.4842105263157894,0.6000000000000001
2012,V-ORAC,0.0,0.9969924812030074,0.8400000000000001
2012,B-POOL,0.3934855412924802,,
2012,B-ENVNN,0.8367315202983562,,
2012,B-MIXED,0.3749326192474447,,
2012,B-IRML,0.3904880648070599,,
2013,V-FULL,0.1015535180583002,0.793984962406015,1.0
2013,V-A0,0.3717973039846272,,
2013,V-SOFT,0.531859264603269,-0.2902255639097744,0.64
2013,V-ORAC,0.0,0.9894736842105262,0.98
2013,B-POOL,0.3727002081273589,,
2013,B-ENVNN,0.4982925805309768,,
2013,B-MIXED,0.3489050463844753,,
2013,B-IRML,0.3706039623214381,,
